56
_p_00	1.0000e-001	1.3335e-001	400000
_p_01	1.3335e-001	1.7783e-001	400000
_p_02	1.7783e-001	2.3714e-001	400000
_p_03	2.3714e-001	3.1623e-001	400000
_p_04	3.1623e-001	4.2170e-001	390616
_p_05	4.2170e-001	5.6234e-001	509284
_p_06	5.6234e-001	7.4989e-001	623739
_p_07	7.4989e-001	1.0000e+000	714243
_p_08	1.0000e+000	1.1548e+000	378402
_p_09	1.1548e+000	1.3335e+000	384189
_p_10	1.3335e+000	1.5399e+000	383217
_p_11	1.5399e+000	1.7783e+000	375603
_p_12	1.7783e+000	2.0535e+000	361860
_p_13	2.0535e+000	2.3714e+000	342819
_p_14	2.3714e+000	2.7384e+000	319554
_p_15	2.7384e+000	3.1623e+000	293250
_p_16	3.1623e+000	3.6517e+000	265131
_p_17	3.6517e+000	4.2170e+000	236340
_p_18	4.2170e+000	4.8697e+000	207882
_p_19	4.8697e+000	5.6234e+000	180579
_p_20	5.6234e+000	6.4938e+000	155046
_p_21	6.4938e+000	7.4989e+000	131697
_p_22	7.4989e+000	8.6596e+000	110758
_p_23	8.6596e+000	1.0000e+001	92306
_p_24	1.0000e+001	1.1548e+001	76294
_p_25	1.1548e+001	1.3335e+001	62588
_p_26	1.3335e+001	1.5399e+001	50996
_p_27	1.5399e+001	1.7783e+001	41302
_p_28	1.7783e+001	2.0535e+001	33268
_p_29	2.0535e+001	2.3714e+001	26667
_p_30	2.3714e+001	2.7384e+001	21284
_p_31	2.7384e+001	3.1623e+001	16922
_p_32	3.1623e+001	3.6517e+001	13409
_p_33	3.6517e+001	4.2170e+001	10594
_p_34	4.2170e+001	4.8697e+001	8348
_p_35	4.8697e+001	5.6234e+001	6563
_p_36	5.6234e+001	6.4938e+001	5149
_p_37	6.4938e+001	7.4989e+001	5000
_p_38	7.4989e+001	8.6596e+001	4765
_p_39	8.6596e+001	1.0000e+002	4542
_p_40	1.0000e+002	1.3335e+002	4216
_p_41	1.3335e+002	1.7783e+002	3830
_p_42	1.7783e+002	2.3714e+002	3480
_p_43	2.3714e+002	3.1623e+002	3161
_p_44	3.1623e+002	4.2170e+002	2872
_p_45	4.2170e+002	5.6234e+002	2608
_p_46	5.6234e+002	7.4989e+002	2370
_p_47	7.4989e+002	1.0000e+003	2154
_p_48	1.0000e+003	1.3335e+003	1956
_p_49	1.3335e+003	1.7783e+003	1776
_p_50	1.7783e+003	2.3714e+003	1614
_p_51	2.3714e+003	3.1623e+003	1464
_p_52	3.1623e+003	4.2170e+003	1250
_p_53	4.2170e+003	5.6234e+003	1206
_p_54	5.6234e+003	7.4989e+003	1099
_p_55	7.4989e+003	1.0000e+004	992
